,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
112,RDNBTC,0.00000000,0.000,0.00000000,0.00000447,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
113,RDNETH,0.00000000,0.000,0.00000000,0.00071530,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
114,RDNBNB,0.00000000,0.000,0.00000000,0.00623000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
115,XMRBTC,-0.00058600,-11.300,0.00483952,0.00518600,0.00460000,1.66600000,0.00459800,1.05600000,0.00460100,10.67300000,0.00518600,0.00520700,0.00455500,37967.37400000,183.74402734,1698065897645,1698152297645,48849001,48868854,19854
116,XMRETH,-0.00852000,-8.978,0.09004703,0.09486000,0.08638000,2.45100000,0.08635000,0.52200000,0.08650000,3.14100000,0.09490000,0.09563000,0.08572000,4349.63700000,391.67190733,1698065904539,1698152304539,6256655,6258821,2167
117,DLTBNB,0.00000000,0.000,0.00000000,0.00240000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
118,WTCBNB,0.00000000,0.000,0.00000000,0.00180500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
119,DLTBTC,0.00000000,0.000,0.00000000,0.00000071,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
120,DLTETH,0.00000000,0.000,0.00000000,0.00016807,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
121,AMBBTC,-0.00000003,-10.714,0.00000026,0.00000028,0.00000025,16091.00000000,0.00000024,4339979.00000000,0.00000025,2813936.00000000,0.00000028,0.00000028,0.00000023,25254798.00000000,6.48010557,1698065904020,1698152304020,12319953,12321827,1875
