,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
277,STORMBNB,0.00000000,0.000,0.00000000,0.00006550,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
278,QTUMBNB,0.00000000,0.000,0.00000000,0.09597000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
279,QTUMUSDT,-0.04700000,-2.208,2.10780818,2.12800000,2.08200000,8.90000000,2.08200000,6.10000000,2.08300000,708.50000000,2.12900000,2.14200000,2.06400000,269417.90000000,567881.25320000,1696952415497,1697038815497,69869241,69875121,5881
280,XEMBTC,0.00000000,0.000,0.00000000,0.00000192,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
281,XEMETH,0.00000000,0.000,0.00000000,0.00003593,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
282,XEMBNB,0.00000000,0.000,0.00000000,0.00244100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
283,WANBTC,-0.00000002,-0.317,0.00000628,0.00000629,0.00000628,131.00000000,0.00000625,23675.00000000,0.00000627,154.00000000,0.00000630,0.00000639,0.00000613,100857.00000000,0.63302052,1696952419765,1697038819765,20705745,20706191,447
284,WANETH,-0.00000240,-2.178,0.00010896,0.00011000,0.00010780,768.00000000,0.00010780,87.00000000,0.00010830,472.00000000,0.00011020,0.00011130,0.00010780,31785.00000000,3.46318110,1696952384677,1697038784677,6043131,6043230,100
285,WANBNB,0.00000000,0.000,0.00000000,0.00181000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
286,WPRBTC,0.00000000,0.000,0.00000000,0.00000027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
287,WPRETH,0.00000000,0.000,0.00000000,0.00004020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
288,QLCBTC,0.00000000,0.000,0.00000000,0.00000021,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
289,QLCETH,0.00000000,0.000,0.00000000,0.00000603,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
290,SYSBTC,0.00000000,0.000,0.00000300,0.00000300,0.00000299,1514.00000000,0.00000298,7473.00000000,0.00000299,164.00000000,0.00000299,0.00000306,0.00000293,373215.00000000,1.11790152,1696952393631,1697038793631,12872820,12873198,379
291,SYSETH,0.00000000,0.000,0.00000000,0.00011047,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
292,SYSBNB,0.00000000,0.000,0.00000000,0.00163500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
293,QLCBNB,0.00000000,0.000,0.00000000,0.00092200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
294,GRSBTC,0.00000000,0.000,0.00000000,0.00001649,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
295,GRSETH,0.00000000,0.000,0.00000000,0.00076455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
296,ADAUSDT,-0.00110000,-0.443,0.24745983,0.24820000,0.24710000,2330.90000000,0.24710000,16967.40000000,0.24720000,118359.60000000,0.24820000,0.24970000,0.24470000,83826322.00000000,20743647.00915000,1696952423572,1697038823572,447861030,447908449,47420
297,ADABNB,0.00000300,0.250,0.00119869,0.00119800,0.00120200,179.00000000,0.00120200,2142.80000000,0.00120300,326.40000000,0.00119900,0.00122500,0.00118900,407429.60000000,488.38119030,1696952420392,1697038820392,14080118,14081239,1122
298,CLOAKBTC,0.00000000,0.000,0.00000000,0.00015550,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
299,CLOAKETH,0.00000000,0.000,0.00000000,0.00414200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
300,GNTBTC,0.00000000,0.000,0.00000000,0.00000678,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
301,GNTETH,0.00000000,0.000,0.00000000,0.00022071,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
302,GNTBNB,0.00000000,0.000,0.00000000,0.00243900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
303,LOOMBTC,-0.00000007,-0.989,0.00000712,0.00000705,0.00000701,642.00000000,0.00000702,5801.00000000,0.00000703,428.00000000,0.00000708,0.00000777,0.00000683,9858512.00000000,70.15834417,1696952422218,1697038822218,14712253,14720111,7859
304,LOOMETH,0.00000000,0.000,0.00000000,0.00003231,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
305,LOOMBNB,0.00000000,0.000,0.00000000,0.00088500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
